错误句子,正确句子
你好、根据你说的情况、初步考虑是有坏孕期间胎儿生长气血津液匮乏导致的痔疮的你好、对于这种情况、如果不是母乳喂养是可以使用复方角菜酸酯栓的、平时注意尽量是多喝点蜂蜜的、饮食上忌食辛辣刺激性的事物的、尽量还是能够去刚肠科做一下检查的、愿早日康复,你好、根据你说的情况、初步考虑是有怀孕期间胎儿生长气血津液匮乏导致的痔疮的你好、对于这种情况、如果不是母乳喂养是可以使用复方角菜酸酯栓的、平时注意尽量是多喝点蜂蜜的、饮食上忌食辛辣刺激性的食物的、尽量还是能够去肛肠科做一下检查的、愿早日康复
你好，根据你的照片，建议采用切开法双眼皮手术，手术避开越境期。,你好，根据你的照片，建议采用切开法双眼皮手术，手术避开月经期。
预防的方法避免任留手术，注意歪生殖器清洁。,预防的方法避免人流手术，注意外生殖器清洁。
人工流产后会有造成不孕的可能，但不是绝对不能怀孕，不要太担忧建议不着急要孩子先尝试自然怀孕，1年还未怀孕就去医院检查一下，如果想尽快要孩子，就去医院做个全面的副科检查，看是否有影响怀孕的因素,人工流产后会有造成不孕的可能，但不是绝对不能怀孕，不要太担忧建议不着急要孩子先尝试自然怀孕，1年还未怀孕就去医院检查一下，如果想尽快要孩子，就去医院做个全面的妇科检查，看是否有影响怀孕的因素
当被查出肺毛玻璃影/肺小结节影时，不必惊慌：在很小、纯的时候，可以随访观察，一般来讲lt8毫米都可以3-6个月随访一次胸部ct平扫；如果已经gt8毫米，或随访有长大趋势，或出现许多饿醒的征象，那就要下决心早点治疗去除。,当被查出肺毛玻璃影/肺小结节影时，不必惊慌：在很小、纯的时候，可以随访观察，一般来讲lt8毫米都可以3-6个月随访一次胸部ct平扫；如果已经gt8毫米，或随访有长大趋势，或出现许多恶性的征象，那就要下决心早点治疗去除。
你好，根据你说的情况可能是胃食管反流病，建议口服雷贝拉错肠溶片治疗看看有没有效果。,你好，根据你说的情况可能是胃食管反流病，建议口服雷贝拉唑肠溶片治疗看看有没有效果。
现在用了哪些药物？没有用过药物知疗？那你现在反复涨痘痘的地方，可以外涂阿达帕林，每晚一词，局部做好保湿，痘印要明显效果，可以选择光子嫩肤,现在用了哪些药物？没有用过药物治疗？那你现在反复长痘痘的地方，可以外涂阿达帕林，每晚一次，局部做好保湿，痘印要明显效果，可以选择光子嫩肤
治药创伤后癫鞋治疗的费用大概得3万-5万元。,治疗创伤后癫痫治疗的费用大概得3万-5万元。
给你的建议就是，你可以适当的现在也可以适当的通过局部的一些护杠片或者是用干扰素进行调整多吃一些有营养食物增加身体体质。,给你的建议就是，你可以适当的现在也可以适当的通过局部的一些护肝片或者是用干扰素进行调整多吃一些有营养食物增加身体体质。
您好；这种情况不排除是药物所致，建议去医院微皮治疗,您好；这种情况不排除是药物所致，建议去医院微波治疗
多长时间了？过敏性紫癜易反覆。,多长时间了？过敏性紫癜易反复。
免疫性不孕，不是很严重可以要物治疗的。,免疫性不孕，不是很严重可以药物治疗的。
这个病手术效果不是很好、即便是微创手术腹腔里面也床上大。,这个病手术效果不是很好、即便是微创手术腹腔里面也创伤大。
得三阳是乙肝，不是甲肝，这个是有窜蓝性的，乙肝是由于感染乙型肝炎病毒引起的慢性传染性疾病，乙肝病毒的传播途径主要是经过性传播，母婴传播，血液传播和血液制品传播的。,大三阳是乙肝，不是甲肝，这个是有传染性的，乙肝是由于感染乙型肝炎病毒引起的慢性传染性疾病，乙肝病毒的传播途径主要是经过性传播，母婴传播，血液传播和血液制品传播的。
您的病情无法简单判断，请来医院门诊挂号捡查吧，我的出诊停诊时间佯见我的个人网站首页。,您的病情无法简单判断，请来医院门诊挂号检查吧，我的出诊停诊时间详见我的个人网站首页。
內莫息肉你是要做宮腔鏡摘除的內膜有2.0了，這樣，你用孕激素十天把內膜轉化了？你服用的時間稍微長一些，但是你內膜那麼厚，不轉化你這個點滴出血好不了的，甚至可能一個月都這樣,內膜息肉你是要做宮腔鏡摘除的內膜有2.0了，這樣，你用孕激素十天把內膜轉化了？你服用的時間稍微長一些，但是你內膜那麼厚，不轉化你這個點滴出血好不了的，甚至可能一個月都這樣
你好，精囊炎的患者，需注意休息，禁欲一段时间，清淡饮食，忌食辛辣刺激性食物，每天高锰酸钾坐浴，局部热服，对症处理。,你好，精囊炎的患者，需注意休息，禁欲一段时间，清淡饮食，忌食辛辣刺激性食物，每天高锰酸钾坐浴，局部热敷，对症处理。
挂线术治疗：在脓肿切开引流时，若发现明确的内口，可行挂线术进行冶疗。,挂线术治疗：在脓肿切开引流时，若发现明确的内口，可行挂线术进行治疗。
主要年红细包总数和血红蛋白的量。,主要年红细胞总数和血红蛋白的量。
一般临床上使用通络安乳贴外敷，口符消炎药物治疗。,一般临床上使用通络安乳贴外敷，口服消炎药物治疗。
这种冰毒的治疗，要针对表面症状进行治疗，同时要针对病毒进行杀灭。,这种病毒的治疗，要针对表面症状进行治疗，同时要针对病毒进行杀灭。
睡觉时，让孩子保持侧卧的姿势，经常给脑瘫患儿翻身，及时做好日常皮肤清洁工作，避免还子感染其他致病菌。,睡觉时，让孩子保持侧卧的姿势，经常给脑瘫患儿翻身，及时做好日常皮肤清洁工作，避免孩子感染其他致病菌。
你好一般月经不调分为两大类一类就是神经丙分泌失调引起的二类主要生殖器官一些气质变化引起的包括生殖器官的炎症.根据你描述的情况还是考虑内分泌异常的可能性大具体的原因你可以到医院进行B超和内分泌的检查看看原因以便考虑如何进行治疗.祝您早日康复!；,你好一般月经不调分为两大类一类就是神经内分泌失调引起的二类主要生殖器官一些气质变化引起的包括生殖器官的炎症.根据你描述的情况还是考虑内分泌异常的可能性大具体的原因你可以到医院进行B超和内分泌的检查看看原因以便考虑如何进行治疗.祝您早日康复!；
"脊柱炎在没有变形之前是可以治愈的,如果变形就只能空制不发展.治疗用纯中药追风舒筋疗法,没有任何副作用，疗效好，疗程短。","脊柱炎在没有变形之前是可以治愈的,如果变形就只能控制不发展.治疗用纯中药追风舒筋疗法,没有任何副作用，疗效好，疗程短。"
如上描术，您的症状是正常的舌部结构可能性比较大。,如上描述，您的症状是正常的舌部结构可能性比较大。
应该与睡眠时间不足有关!神经衰弱表现，建议你口服维生素B1维生素B12营养神精。,应该与睡眠时间不足有关!神经衰弱表现，建议你口服维生素B1维生素B12营养神经。
对清光眼最好先用药物治疗、若在最大药量下仍不能控制眼牙、可考虑收术治疗、应先用低浓度的药液、后用高浓度的药液滴眼、并根据不同药物的有效降压作用时间、决定每天点药的次数、最重要的是要保证在24小时内能维持有效药量、睡前可用眼膏涂眼,对青光眼最好先用药物治疗、若在最大药量下仍不能控制眼压、可考虑手术治疗、应先用低浓度的药液、后用高浓度的药液滴眼、并根据不同药物的有效降压作用时间、决定每天点药的次数、最重要的是要保证在24小时内能维持有效药量、睡前可用眼膏涂眼
你好，很高兴为你解答，皮肤瘙痒不排除皮炎或皮肤感召引起。,你好，很高兴为你解答，皮肤瘙痒不排除皮炎或皮肤干燥引起。
你好朋友一般这个彦后恶露是不会超过45天的，如果长期不干净建议最好去妇科做个检查，注意卫生即可,你好朋友一般这个产后恶露是不会超过45天的，如果长期不干净建议最好去妇科做个检查，注意卫生即可
你好，根据你上条说的这个疟状，主要考虑是，干燥引起的。,你好，根据你上条说的这个症状，主要考虑是，干燥引起的。
这种情况感柒艾滚病的可能性不大，但凡事无绝吋。,这种情况感染艾滋病的可能性不大，但凡事无绝对。
应该多注意一些饮食和卫生，多囊卵巢综合症是由于内分泌功能萘乱引起的。,应该多注意一些饮食和卫生，多囊卵巢综合症是由于内分泌功能紊乱引起的。
当被查出肺毛玻璃影/肺小洁节影时，不必惊慌：在很小、纯的时候，可以随访观察，一般来讲lt8毫米都可以3-6个月随访一次胸部ct平扫；如果已经gt8毫米，或随访有长大趋势，或出现许多恶姓的征象，那就要下决心早点治疗去除。,当被查出肺毛玻璃影/肺小结节影时，不必惊慌：在很小、纯的时候，可以随访观察，一般来讲lt8毫米都可以3-6个月随访一次胸部ct平扫；如果已经gt8毫米，或随访有长大趋势，或出现许多恶性的征象，那就要下决心早点治疗去除。
西药相对的作用强一些，效果好一些，但是副作用比较的大，而且容易导致衣赖，成瘾的一个情况的了的。,西药相对的作用强一些，效果好一些，但是副作用比较的大，而且容易导致依赖，成瘾的一个情况的了的。
可以先用对乙酰氨基酚口服，多喝水，口服大青叶口服液，如有不是随时复查，必要时住院治疗,可以先用对乙酰氨基酚口服，多喝水，口服大青叶口服液，如有不适随时复查，必要时住院治疗
2如果当时有带安权套，不一定会感染。,2如果当时有带安全套，不一定会感染。
您好，溃汤的治疗疗程一般为4-6周，部分需要维持8周，前2周一般为根除幽门螺旋杆菌的治疗，随后继续予以抑制胃酸分泌及保护胃粘膜的药物巩固治疗,您好，溃疡的治疗疗程一般为4-6周，部分需要维持8周，前2周一般为根除幽门螺旋杆菌的治疗，随后继续予以抑制胃酸分泌及保护胃粘膜的药物巩固治疗
如果有妊娠剧吐或者胎儿发育偏小时，营养吸收不好的情况下，可以注射复访氨基酸。,如果有妊娠剧吐或者胎儿发育偏小时，营养吸收不好的情况下，可以注射复方氨基酸。
平时月经准吗？可以肌注黄体同，一周后复查b超。,平时月经准吗？可以肌注黄体酮，一周后复查b超。
你好，根据你的描述，劳累是出现人软发力，需要肝肾功能检查看看，排除肝功能引起症状。,你好，根据你的描述，劳累是出现人软乏力，需要肝肾功能检查看看，排除肝功能引起症状。
产后抑郁是由于身心的问题，所以你要多陪陪她，多出去走走，有空多和她勾通看看，相应只要你有耐心与她交流，她会慢慢好转的。,产后抑郁是由于身心的问题，所以你要多陪陪她，多出去走走，有空多和她沟通看看，相应只要你有耐心与她交流，她会慢慢好转的。
因不坡坏皮肤，所以局部没有疤痕。,因不破坏皮肤，所以局部没有疤痕。
我们医院没有高压氧，互近可以去煤炭医院或冶金医院。,我们医院没有高压氧，附近可以去煤炭医院或冶金医院。
因此，必须对前列腺癌的各种症状有一个充分的认识，才能做到早罚现，早治疗。,因此，必须对前列腺癌的各种症状有一个充分的认识，才能做到早发现，早治疗。
和注射式疗法为主的再就是配合中药寻洗治疗效果也是很好的,和注射式疗法为主的再就是配合中药薰洗治疗效果也是很好的
"你好，如果手术彻底切除无转移，手术后采用中医动态的疗法服用中草药冶疗,杀死痦细胞,提高免疫力,有效的控制病情发展,调整阴阳平衡,达到完全康复的目的。","你好，如果手术彻底切除无转移，手术后采用中医动态的疗法服用中草药治疗,杀死癌细胞,提高免疫力,有效的控制病情发展,调整阴阳平衡,达到完全康复的目的。"
您好，溃疡的治疗疗程一般为4-6周，部分需要维持8周，前2周一般为根除幽门螺旋杆菌的治疗，随后继续予以仰制胃酸分泌及保护胃粘膜的药物巩固治疗,您好，溃疡的治疗疗程一般为4-6周，部分需要维持8周，前2周一般为根除幽门螺旋杆菌的治疗，随后继续予以抑制胃酸分泌及保护胃粘膜的药物巩固治疗
爬进森的危害是非常严重的，所以建议您因该要及时的进行治疗才好，若是能够早发现找治疗帕金森，这样治疗效果还是很不错的。,帕金森的危害是非常严重的，所以建议您应该要及时的进行治疗才好，若是能够早发现早治疗帕金森，这样治疗效果还是很不错的。
"西比灵,改善脑部学液循环。","西比灵,改善脑部血液循环。"
中药内服包括辨正论治、中成药和偏方验方。,中药内服包括辨证论治、中成药和偏方验方。
现在出现咳嗽咳痰熊闷等症状，可能与天气高温、闷热有关。,现在出现咳嗽咳痰胸闷等症状，可能与天气高温、闷热有关。
开内眼角手术是比较安全的，因为现在这种手术的技术已经比较成熟了，而且这种手术对矢生的要求比较高，一般都是有丰富经验的医生亲自操作，所以是不会对爱美者眼部造成太大的伤害，但是爱美者需要选择去正规的医院进行开内眼角手术，这样安全才更有保障。,开内眼角手术是比较安全的，因为现在这种手术的技术已经比较成熟了，而且这种手术对医生的要求比较高，一般都是有丰富经验的医生亲自操作，所以是不会对爱美者眼部造成太大的伤害，但是爱美者需要选择去正规的医院进行开内眼角手术，这样安全才更有保障。
您好，感冒一般会引起这些症状的最好能吃药治疗比如新康泰克或者999感冒灵等加服消炎药比如罗红霉素或者阿奇霉素等咳嗽比较明显的加服止咳药品比如强力琵琶露等。,您好，感冒一般会引起这些症状的最好能吃药治疗比如新康泰克或者999感冒灵等加服消炎药比如罗红霉素或者阿奇霉素等咳嗽比较明显的加服止咳药品比如强力枇杷露等。
如果不及时控制体内乙肝病毒复制发展，会导致干脏持续受损，不但会传染给身边的亲人和朋友，而且会导致患者病情沿着（乙肝→肝硬化→肝癌）肝病三部曲的方向恶化发展,如果不及时控制体内乙肝病毒复制发展，会导致肝脏持续受损，不但会传染给身边的亲人和朋友，而且会导致患者病情沿着（乙肝→肝硬化→肝癌）肝病三部曲的方向恶化发展
立慢性无排蓝、闭经或月经稀发、不孕、回胖、多毛和卵巢多囊性增大为临床特征。,以慢性无排卵、闭经或月经稀发、不孕、肥胖、多毛和卵巢多囊性增大为临床特征。
病毒性肝炎所致的肝硬化患者应该积极采取亢病毒治疗，可有效的改善肝功能，有利于病情好转。,病毒性肝炎所致的肝硬化患者应该积极采取抗病毒治疗，可有效的改善肝功能，有利于病情好转。
建议你试试维生素类调理一下还是可以，不要紧张过度，观查一下再说。,建议你试试维生素类调理一下还是可以，不要紧张过度，观察一下再说。
1酒精不能擦尿道内口，会捉伤。,1酒精不能擦尿道内口，会灼伤。
您好，尖锐湿疣属于病毒性感染的，一般呈机关转或菜花状的。,您好，尖锐湿疣属于病毒性感染的，一般呈鸡冠状或菜花状的。
表现为充血或者水肿，患者经常会出现鼻塞，流请水涕，鼻痒，喉部不适，咳嗽等症状，主要是对鼻窦炎的原发病因进行治疗，根据不同的鼻窦炎，用药有所区别，过敏性鼻窦炎需要抗过敏治疗。,表现为充血或者水肿，患者经常会出现鼻塞，流清水涕，鼻痒，喉部不适，咳嗽等症状，主要是对鼻窦炎的原发病因进行治疗，根据不同的鼻窦炎，用药有所区别，过敏性鼻窦炎需要抗过敏治疗。
看描述在我们做封闭治疗，右耳应该能治好，左耳百分之七十能枝疗好。,看描述在我们做封闭治疗，右耳应该能治好，左耳百分之七十能治疗好。
做双眼皮开眼角手术后大概需要5~7天左右才会拆现，这期间手术部位的伤口已经基本愈合，而且拆线的时候医生动做是比较的，拆线的过程也很短，所以拆线的时候一半不会有疼痛的感觉。,做双眼皮开眼角手术后大概需要5~7天左右才会拆线，这期间手术部位的伤口已经基本愈合，而且拆线的时候医生动作是比较的，拆线的过程也很短，所以拆线的时候一般不会有疼痛的感觉。
你好根据你的提问要积极寻找并去除易感因素，急性发作时治疗同急性肾盂肾炎，急性发作病情较轻时可口服抗生素，感染严重的需住院治疗。,你好根据你的提问要积极寻找并祛除易感因素，急性发作时治疗同急性肾盂肾炎，急性发作病情较轻时可口服抗生素，感染严重的需住院治疗。
可以到专业的不孕不育医院进行全面的捡查后再对症下药，引起不孕的原因有很多，例如输卵管赌塞，卵泡发育不良，免疫性不孕，男性少弱精症，无精症等都是引起不孕的园因，建议你们到医院做详细检查明确。,可以到专业的不孕不育医院进行全面的检查后再对症下药，引起不孕的原因有很多，例如输卵管堵塞，卵泡发育不良，免疫性不孕，男性少弱精症，无精症等都是引起不孕的原因，建议你们到医院做详细检查明确。
您好；这种情侃不排除是药物所致，建议去医院微波治疗,您好；这种情况不排除是药物所致，建议去医院微波治疗
我每周一上午及周四上午在上海市第一人民诣院南院（上海市松江区新松江路650号）看专家门诊，最好到门诊让我看看。,我每周一上午及周四上午在上海市第一人民医院南院（上海市松江区新松江路650号）看专家门诊，最好到门诊让我看看。
你好根据你的描述可能是因为检查有高胆红素血症引起的急病，建议注意不吃辛辣油腻膨化油炸食品，口服茵栀黄，甘利欣治疗，无需担心,你好根据你的描述可能是因为检查有高胆红素血症引起的疾病，建议注意不吃辛辣油腻膨化油炸食品，口服茵栀黄，甘利欣治疗，无需担心
冯氏性心脏病是由于风湿热活动而导致心脏瓣膜的影响才出现的心脏半膜的病变，一般表现为瓣膜狭窄或关闭不全，初期一般症状不是很明显，但后期则会出现明显的症状，一般确诊后需要及时的进行治疗，防止病情加重。,风湿性心脏病是由于风湿热活动而导致心脏瓣膜的影响才出现的心脏瓣膜的病变，一般表现为瓣膜狭窄或关闭不全，初期一般症状不是很明显，但后期则会出现明显的症状，一般确诊后需要及时的进行治疗，防止病情加重。
你好月经不调平时要有规律的生活饮食要均衡少吃些凉的辣的有刺激性的食物多做运动建议保持愉快的心情养成良好的生活习惯再加上吃点中草药调理那就事伴功倍了慢慢调理一定会使月经达到正常的长期月经不调这个你要引起重视因为引起悦景不调有多种原因的建议还是去检查一下,你好月经不调平时要有规律的生活饮食要均衡少吃些凉的辣的有刺激性的食物多做运动建议保持愉快的心情养成良好的生活习惯再加上吃点中草药调理那就事伴功倍了慢慢调理一定会使月经达到正常的长期月经不调这个你要引起重视因为引起月经不调有多种原因的建议还是去检查一下
右侧卵巢疼痛，有可能是属于卵巢炎、输卵管炎、输卵管不通，以及卵巢囊肿、自宫肌瘤、盆腔积液、妇科慢性炎症病变刺激，或者是由于局部神经调节异常，也应该考虑是否有皮肤粘膜蚊虫叮咬，或者是神经痛，腹壁淋巴结炎等。,右侧卵巢疼痛，有可能是属于卵巢炎、输卵管炎、输卵管不通，以及卵巢囊肿、子宫肌瘤、盆腔积液、妇科慢性炎症病变刺激，或者是由于局部神经调节异常，也应该考虑是否有皮肤粘膜蚊虫叮咬，或者是神经痛，腹壁淋巴结炎等。
你好，虽然已经证实牛皮选与遗传因素有关，但是也有实验证明这种击穿几率是可以减少的。,你好，虽然已经证实牛皮癣与遗传因素有关，但是也有实验证明这种击穿几率是可以减少的。
激光去斑只是对症治疗，并不能够阻正皮肤再一次生成黑色素，如果爱美人士术后不注意自身内分泌的调节，外出的时候不注意防晒，没有做好皮肤的保养工作，皮肤还是会再一次出现色斑。,激光去斑只是对症治疗，并不能够阻止皮肤再一次生成黑色素，如果爱美人士术后不注意自身内分泌的调节，外出的时候不注意防晒，没有做好皮肤的保养工作，皮肤还是会再一次出现色斑。
你好肝功能是检查肝脏的一些基本情况的检查一般此项检查结果出现问题说明肝脏出现受损情况建议可以详细明确其他检查结果接受科学合理的知了.,你好肝功能是检查肝脏的一些基本情况的检查一般此项检查结果出现问题说明肝脏出现受损情况建议可以详细明确其他检查结果接受科学合理的治疗.
尿蛋白3+，血肌酐升高，间质性费炎，建议住院诊治。,尿蛋白3+，血肌酐升高，间质性肺炎，建议住院诊治。
小孩子晚上咳嗽，建议给孩子喂异丙秦和甘草合剂。,小孩子晚上咳嗽，建议给孩子喂异丙嗪和甘草合剂。
一般临床上使用通络安乳贴外服，口服消炎药物织疗。,一般临床上使用通络安乳贴外敷，口服消炎药物治疗。
子共纵隔手数后一般来说不太影响顺产，但是即使没有子宫总隔也不是百分百能顺产。,子宫纵隔手术后一般来说不太影响顺产，但是即使没有子宫纵隔也不是百分百能顺产。
可以的，下次月经米的3到5天继续来做人授这个月仍然要吃芬玛通，这个周期要吃完的。,可以的，下次月经来的3到5天继续来做人授这个月仍然要吃芬玛通，这个周期要吃完的。
你好，多囊卵超是一种生殖功能障碍与糖代谢异常并存的女性内分泌紊乱纪病，以排卵功能障碍、高雄性激素和胰岛素抵抗为主要特征。,你好，多囊卵巢是一种生殖功能障碍与糖代谢异常并存的女性内分泌紊乱疾病，以排卵功能障碍、高雄性激素和胰岛素抵抗为主要特征。
令冻治疗是将低温作用于人体的病变组织.使其发生一系列的生物物理和生物化学的改变，以导致炎症、变性和坏死，达到治疗的目的。,冷冻治疗是将低温作用于人体的病变组织.使其发生一系列的生物物理和生物化学的改变，以导致炎症、变性和坏死，达到治疗的目的。
疼痛：一般患者无腹痛，常有下腹坠胀、腰背酸痛等，当浆膜下肌瘤蒂扭转时，可出现急性腹痛肌瘤红色变时，腹痛剧烈且伴发热，一般可用种药石瘕膏缓解。,疼痛：一般患者无腹痛，常有下腹坠胀、腰背酸痛等，当浆膜下肌瘤蒂扭转时，可出现急性腹痛肌瘤红色变时，腹痛剧烈且伴发热，一般可用中药石瘕膏缓解。
做洁肠镜检查一般不会有太大的痛苦的只是检查前的肠腔准备需要配和具体的是要进行几次清洁灌肠灌肠的时候会有便意但又需要憋住不能便出来比较难受灌肠后过一段时间就要便出来（把灌进去的盐水排出去）如是几次才算准备好,做结肠镜检查一般不会有太大的痛苦的只是检查前的肠腔准备需要配合具体的是要进行几次清洁灌肠灌肠的时候会有便意但又需要憋住不能便出来比较难受灌肠后过一段时间就要便出来（把灌进去的盐水排出去）如是几次才算准备好
建议你试试为生素类调理一下还是可以，不要紧张过度，观察一下再说。,建议你试试维生素类调理一下还是可以，不要紧张过度，观察一下再说。
可以考虑甲亢，但要进一步检查甲亢原因佳康是明确的，查了甲撞腺抗体三项没？80-90%的甲亢是弥漫性毒性甲状线肿引起的，极少数是由结节性甲状腺引起的。,可以考虑甲亢，但要进一步检查甲亢原因甲亢是明确的，查了甲状腺抗体三项没？80-90%的甲亢是弥漫性毒性甲状腺肿引起的，极少数是由结节性甲状腺引起的。
"你好，建议口服山麦健脾扣服液和藿香冲剂或四味脾胃舒颗粒试试,延长位奶的间隔时间.或把佩方奶粉的比例稀释,让肠胃休息休息.多喂水.减少辅食添加.好转后再循序渐进恢复添加.尤其不要吃不消化的食物","你好，建议口服山麦健脾口服液和藿香冲剂或四味脾胃舒颗粒试试,延长喂奶的间隔时间.或把配方奶粉的比例稀释,让肠胃休息休息.多喂水.减少辅食添加.好转后再循序渐进恢复添加.尤其不要吃不消化的食物"
不要太大的心理压力要保持充足睡眠多吃新鲜水果蔬菜适当地减少日光的照射要到正规的医疗机垢处理不要轻信广告的疗效。,不要太大的心理压力要保持充足睡眠多吃新鲜水果蔬菜适当地减少日光的照射要到正规的医疗机构处理不要轻信广告的疗效。
也可配合中医的清热利湿，润燥舒筋，活学通络，益气健脾，滋补肝肾等方法。,也可配合中医的清热利湿，润燥舒筋，活血通络，益气健脾，滋补肝肾等方法。
双歧杆菌是双向调节药，如果已经出现腹泻，并且吃双歧杆菌没有改擅的话，建议停掉观察，药物都停掉还是有腹写，建议去医院话验大便看一下,双歧杆菌是双向调节药，如果已经出现腹泻，并且吃双歧杆菌没有改善的话，建议停掉观察，药物都停掉还是有腹泻，建议去医院化验大便看一下
口腔尖锐事疣在无法使用激逛治疗的情况下，您可以使用免疫条节剂如咪喹莫特或干扰素来治疗。,口腔尖锐湿疣在无法使用激光治疗的情况下，您可以使用免疫调节剂如咪喹莫特或干扰素来治疗。
你的症是一颈肩综合症，是颈椎病导致深井根受累所致的病理改变。,你的症是一颈肩综合症，是颈椎病导致神经根受累所致的病理改变。
你好肝功能是检察肝脏的一些基本情况的检查一般此项检查结果出现问题说明肝脏出现受损情况建意可以祥细明确其他检查结果接受科学合理的治疗.,你好肝功能是检查肝脏的一些基本情况的检查一般此项检查结果出现问题说明肝脏出现受损情况建议可以详细明确其他检查结果接受科学合理的治疗.
您好，乙肝一秒一般1和3针不要推迟1个月以上，以防抗体产生不了，所以最好及时的注射。,您好，乙肝疫苗一般1和3针不要推迟1个月以上，以防抗体产生不了，所以最好及时的注射。
平时可以服用话素片、西瓜霜对症治疗。,平时可以服用华素片、西瓜霜对症治疗。
"心理分析：精神分列症是大脑功能紊乱所致,突出表现为精神活动的异常,目前国内外亢精神类西医西药以镇静、安眠之作用来实现对异常正状的控制心理指导：皮疹是服用抗精神类药后引起的,为罢脱这一现象只能换为别的药服用,否则是难以摆脱的.由此得知你服用的是抗精神类西药","心理分析：精神分裂症是大脑功能紊乱所致,突出表现为精神活动的异常,目前国内外抗精神类西医西药以镇静、安眠之作用来实现对异常症状的控制心理指导：皮疹是服用抗精神类药后引起的,为摆脱这一现象只能换为别的药服用,否则是难以摆脱的.由此得知你服用的是抗精神类西药"
"您好，可以做醋酸白试验用5%醋酸溶液涂于待检部位,3—5分钟后观察，尖锐性湿疣病变处可见到均匀的弯白。","您好，可以做醋酸白试验用5%醋酸溶液涂于待检部位,3—5分钟后观察，尖锐性湿疣病变处可见到均匀的变白。"
子宫西肉有可能是慢性宫颈炎引起的，严重的话建议手术治疗,子宫息肉有可能是慢性宫颈炎引起的，严重的话建议手术治疗
牛批癣是我们生活中常见的一种慢性皮肤病，这种皮肤病相信很多朋友都不陌生，但是对于这种病情的认识到底有多少呢?不少患者朋友们治病心切用药上难免出现一些偏差，激素类药物使用不少，对于病情虽能控制一时，可是很容易再次复发，加重也是很常见的。,牛皮癣是我们生活中常见的一种慢性皮肤病，这种皮肤病相信很多朋友都不陌生，但是对于这种病情的认识到底有多少呢?不少患者朋友们治病心切用药上难免出现一些偏差，激素类药物使用不少，对于病情虽能控制一时，可是很容易再次复发，加重也是很常见的。
理袅，急性期可用超短波疗法，红斑量紫外线照射等治疗。,理疗，急性期可用超短波疗法，红斑量紫外线照射等治疗。
